title,url,caption,tag
Drawing Ideas in  DLCL202,dlcl202.jpg,Drawing Ideas in  DLCL202,
Networks Workshop,duke-feature-01.jpg,Networks Workshop,
Networks Workshop,duke-feature-02.jpg,Networks Workshop,
Drawing Networks at Duke,duke-feature-03.jpg,Drawing Networks at Duke,
Mark Algee-Hewitt meeting with Fellows,fellows_02.jpg,Mark Algee-Hewitt meeting with Fellows,Graduate Research Fellows Program
Grand Tour Team at Work,grand-tour.jpg,Grand Tour Team at Work,
Fellows Meeting,hdlab-feature-01,Fellows Meeting,
Jacqueline Artthur-Montagne,jacquie-fellow.jpg,Jacqueline Artthur-Montagne building a data set.,About
Kate Sweetapple and Jacquie Kasunic,kate_jacquie.jpg,Kate Sweetapple and Jacquie Kasunic,
Kate Sweetapple and Jacquie Kasunic,kateandjacquie.jpg,Kate Sweetapple and Jacquie Kasunic,
"Molly, Giorgio, and Jason",molly_giorgio_jason.jpg,"Molly, Giorgio, and Jason",
"Sarah, Ruth, and Seb",networks.jpg,"Sarah, Ruth, and Seb","Lab Notebook"
Palladio,palladio_banner.jpg,Palladio Screenshot,
Paula Findlen and Dan El,paula_danel.jpg,Drawing Ideas session: Paula Findlen and DanEl Padilla,Projects
Jonathan Weiland,weiland_network.jpg,Graduate Fellow Jon Weiland at the whiteboard.,Teaching
Palladio,palladio_background.mp4,,Tools
